categoria,subcategoria,nombre,precio,url,tienda
Horno,Accesorios Gas GLP,"UT840312-5 Enlace reducido M21,8Iz x H20-150",4.36,https://anper.net/productos/406/construccion-de-hornos/ut840312-5-enlace-reducido-m21-8iz-x-h20-150,Anper
Horno,Accesorios Gas GLP,UT840338 Termopar cabeza roscada M-8x1 600mm,4.72,https://anper.net/productos/1102/construccion-de-hornos/ut840338-termopar-cabeza-roscada-m-8x1-600mm,Anper
Horno,Accesorios Gas GLP,UT840342 Quemador Recto GLP 50.000Kcal/h,257.57,https://anper.net/productos/781/construccion-de-hornos/ut840342-quemador-recto-glp-50-000kcal-h,Anper
Horno,Accesorios Gas GLP,UT840343 Kit completo quemador Raku 11.000Kcal,254.1,https://anper.net/productos/675/construccion-de-hornos/ut840343-kit-completo-quemador-raku-11-000kcal,Anper
Horno,Accesorios Gas GLP,UT840345 Termopar universal 600mm,22.02,https://anper.net/productos/1239/construccion-de-hornos/ut840345-termopar-universal-600mm,Anper
Horno,Accesorios Gas GLP,UT840347 Kit completo quemador 50.000Kcal,332.33,https://anper.net/productos/782/construccion-de-hornos/ut840347-kit-completo-quemador-50-000kcal,Anper
Horno,Accesorios Gas GLP,UT840350 Quemador acodado 75.000Kcal/h GLP,295.77,https://anper.net/productos/967/construccion-de-hornos/ut840350-quemador-acodado-75-000kcal-h-glp,Anper
Horno,Accesorios Gas GLP,"UT840351 Llave cromada M20/150-M21,8lz",12.29,https://anper.net/productos/968/construccion-de-hornos/ut840351-llave-cromada-m20-150-m21-8lz,Anper
Horno,Accesorios Gas GLP,UT840357 Kit conexión 2 bombonas de propano -1 quemador,147.62,https://anper.net/productos/569/construccion-de-hornos/ut840357-kit-conexion-2-bombonas-de-propano-1-quemador,Anper
Horno,Aislantes - Ladrillos - Fibras,Cemento - Mortero líquido AL-40 1Kg,2.41,https://anper.net/productos/963/construccion-de-hornos/cemento-mortero-liquido-al-40h,Anper
Horno,Aislantes - Ladrillos - Fibras,Cemento - Mortero líquido AL-40 5Kg,11.5,https://anper.net/productos/963/construccion-de-hornos/cemento-mortero-liquido-al-40h,Anper
Horno,Aislantes - Ladrillos - Fibras,Pasta Reparadora Fibra hasta 1430ºC 1Kg,9.98,https://anper.net/productos/1244/construccion-de-hornos/pasta-reparadora-fibra-hasta-1430-c,Anper
Horno,Aislantes - Ladrillos - Fibras,Pasta Reparadora Fibra hasta 1430ºC 5Kg,49.91,https://anper.net/productos/1244/construccion-de-hornos/pasta-reparadora-fibra-hasta-1430-c,Anper
Horno,Aislantes - Ladrillos - Fibras,RE005606 Cemento-masilla reparador en tubo 1300ºC,6.91,https://anper.net/productos/424/construccion-de-hornos/re005606-cemento-masilla-reparador-en-tubo-1300-c,Anper
Horno,Aislantes - Ladrillos - Fibras,RE005607 Fibra ceramica rollo 25x7320x610 1260ºC -uso profesional,102.35,https://anper.net/productos/414/construccion-de-hornos/re005607-fibra-ceramica-rollo-25x7320x610-1260-c-uso-profesional,Anper
Horno,Aislantes - Ladrillos - Fibras,RE005608 Fibra ceramica rollo 25x7320x610 1425ºC -uso profesional,131.62,https://anper.net/productos/413/construccion-de-hornos/re005608-fibra-ceramica-rollo-25x7320x610-1425-c-uso-profesional,Anper
